s dummy RR0 RR2 RR4 RR6 RR8
0.234153 0 1.1016 -0.130947 -3.71374 -0.340463 -7.01485
0.234693 0 3.23711 6.18337 -7.70973 16.0768 -14.5628
0.235234 0 3.62546 -8.84836 11.2761 -23.0057 21.2993
0.235776 0 1.10292 1.88771 -3.48626 4.90805 -6.58516
0.23632 0 0 0 0 0 0
0.236865 0 0 0 0 0 0
0.237411 0 0 0 0 0 0
0.237958 0 0 0 0 0 0
0.238507 0 0 0 0 0 0
0.239056 0 2.59114 6.34396 0.406847 16.4943 0.768489
0.239607 0 0 0 0 0 0
0.24016 0 1.10043 -0.982532 -2.25488 -2.55458 -4.25921
0.240713 0 0 0 0 0 0
0.241268 0 0 0 0 0 0
0.241824 0 0 0 0 0 0
0.242382 0 0.874415 -1.27826 -0.474172 -3.32347 -0.895659
0.242941 0 3.14144 0.465713 -5.30688 1.21085 -10.0241
0.243501 0 0 0 0 0 0
0.244062 0 4.38832 8.43974 -12.4368 21.9433 -23.4917
0.244625 0 0 0 0 0 0
0.245189 0 0 0 0 0 0
0.245754 0 4.41321 -7.2935 4.65355 -18.9631 8.79004
0.24632 0 0.850125 -1.91266 1.94949 -4.97292 3.68236
0.246888 0 0 0 0 0 0
0.247457 0 0.857032 3.24047 2.33656 8.42523 4.4135
0.248028 0 0 0 0 0 0
0.2486 0 4.23874 -8.22653 5.29527 -21.389 10.0022
0.249173 0 0 0 0 0 0
0.249747 0 4.71438 17.7455 12.5115 46.1383 23.6328
0.250323 0 4.33098 3.19793 -9.04188 8.31462 -17.0791
0.2509 0 1.73348 -4.23756 5.42157 -11.0177 10.2407
0.251478 0 3.8394 -2.09462 -9.32961 -5.44602 -17.6226
0.252058 0 1.20781 -2.74621 2.88976 -7.14015 5.45843
0.252639 0 0 0 0 0 0
0.253221 0 0 0 0 0 0
0.253805 0 1.1155 -2.53849 2.67798 -6.60008 5.05841
0.25439 0 0 0 0 0 0
0.254977 0 7.76391 28.7226 18.5962 74.6789 35.1261
0.255564 0 1.08091 -2.70227 3.64807 -7.02591 6.8908
0.256153 0 2.99899 -1.25005 10.8137 -3.25013 20.4258
0.256744 0 0 0 0 0 0
0.257336 0 0.873618 -2.13359 2.72345 -5.54733 5.14429
0.257929 0 0 0 0 0 0
0.258524 0 2.11647 -0.964133 -2.46315 -2.50675 -4.65262
0.25912 0 2.33266 6.74762 -1.20131 17.5438 -2.26914
0.259717 0 0 0 0 0 0
0.260316 0 1.13034 4.48769 4.02804 11.668 7.60853
0.260916 0 2.94144 -5.38394 2.57112 -13.9982 4.85656
0.261517 0 0 0 0 0 0
